project_name,is_interview_language_english
Философия ИТ,0
Сбер РБ ДомКлик_ЕФС,0
Сбер РБ Платежи&Переводы,0
Moovforge,1
Alternative Payments PSD2,1
Majorel,1
BSS Group,0
Яндекс Медиалаб,0
Laba_Sales,0
Альфа-банк,0
Quincus,1
Backbase,1
Yara International,1
StormPay,0
Kapital Bank Open Joint-Stock Company,0
МТС Диджитал,0
I-Teco,0
Ростелеком - Контакт Центр,0
Synchtank,1
Ингосстрах-Инвестиции,0
Space (Neobank),1
ПАО Банк «ФК Открытие»,0
BIKE24,1
M10 (PayPoint),0
Техносерв ВТБ Страхование,0
Publicis Media DE,1
GMCS,0
s.Oliver Group,1
Laya Technologies,1
Transporeon,1
Exinity,0
Ростелеком #2,0
IHS,1
Тинькофф Банк,0
X5 Retail Group. 5POST,0
МАГНИТ,0
Sternwald Group,1
inDriver,0
tabby SA,0
Purity (Dustin),1
Kooba,1
Team Force,0
Reuter Gruppe,0
Global Shares Ireland Limited,1
Roibox,1
Lexop,1
Сбер РБ Кошелек Клиента (ФИТ),0
Банки.ру,0
Accenture Russia,0
People Intelligence,1
AssetBook LLC2,1
Allianz Partners (MultiLob),1
Paysera,1
Сбер Риски Департамент интегрированного риск-менеджмента,0
Ланит - Сбер,0
LigaStavok.TM,0
ethinking,1
XLN Telecom,1
DMHub,1
Ланит - ВТБ,0
X5 Retail Group Портал поставщика,0
Centtrip UK,1
Thryve (mHealth Pioneers GmbH),1
Data Lens Labs Ltd,1
MemberNova,1
"Retrain.ai, inc",1
Манго телеком,0
Qatar National Bank,1
Ecovium GmbH,1
cxomni CXM cloud,1
JTI (Japan Tobacco International),1
Tempo,0
Сбербанк Казахстан,0
Rush Street Interactive,1
Upfitness,1
Madkhol,1
Wayflyer Limited,1
Moonfare,1
IPF digital,1
Bundle,1
msg Plaut Austria GmbH,1
Allianz Technology,1
X5 Retail Group EDI с топливными компаниями,0
Yieldbird,1
Mondia group,1
Сбер РБ - Домклик,0
Schenck RoTec GmbH,1
Bitmovin GmbH,1
Nexxiot AG,1
Austenblake,1
Exness,0
Verses,1
SupplyStack,0
СберМаркет,0
Independer,1
Eleving Group,1
Enersis,1
RCI Banque S.A. Niederlassung Deutschland,1
Allianz Partners,1
ANIXE,1
Rezolve,1
Fressnapf Tiernahrungs,1
Finstep,1
Allianz Technology - Canada,1
Stoovo,1
iText,1
Modera,1
River Tech,1
ATG,1
Booking Group Corporation,0
ITFB Group,0
Самолёт Венчурс - Плафторма Самолёт+,0
TICON UK LIMITED,1
I22,1
Decta,1
Broadcasting Center Europe (BCE),1
AMDTelecom,1
Wio Bank,1
Wondersign,1
СБЕР КИБ,0
Jusan Bank - Staff augmentation,0
СБЕР РБ,0
Phenom People,1
WorldR,1
Банк Синара (СКБ-банк),0
Centtrip USA,1
Trip-arc,1
PropertyGuru Group,1
BlueBridge Technologies,1
Cian_2,0
Arviem AG,1
X5 Retail Group. Доставка товаров,0
IPF digital (Java),1
Duftner,1
Getsafe,1
Chrsolutions,1
JET RoR,0
Scytl,1
The Sole Supplier,1
Atroo,1
Yonoton,1
Сбер РБ Социальные и зарплатные решения,0
Datagile,0
IPF digital (WEB),1
ABB Switzerland Ltd,1
CHANTELLE,1
Уральский банк реконструкции и развития,0
Softeq Minsk,1
verivox.de,1
NEXR Technologies SE,1
Siemens UK | Yunex Traffic,1
Compleet,1
Crystal Blockchain,0
CSS Breda,1
СБЕР КИБ Брокерский Бизнес,0
Pasha bank,1
eurofunk,1
Ververica,1
ГО ИНВЕСТ,0
Aisemo,1
Brandoo,1
МЦ НТТ - TM (РТК Контакт-центр),0
Comparis,1
